Feature Type,Feature Label,Feature ID,Element,Actual,Nominal,Deviat.(TP Dev),Up Tol.(TP Tol),Low Tol.,Pass/Fail
Point,H_R5H0_P1,22,Coord. Y,-52.66958,-52.66,-0.00958,0.3,-0.3,PASS
Point,H_R5H0_P1,22,Coord. Z,0.364459,0.39,-0.025541,0.04,-0.04,PASS
Point,H_R5H0_P2,23,Coord. X,94.068936,94.06,0.008936,0.1,-0.1,PASS
Point,H_R5H0_P2,23,Coord. Y,-55.303459,-55.31,0.006541,0.3,-0.3,PASS
Point,H_R5H0_P2,23,Coord. Z,0.333671,0.39,-0.056329,0.04,-0.04,FAIL
Point,H_R5H0_0,24,Coord. X,3.542754,0,3.542754,,,
Point,H_R5H0_0,24,Coord. Y,-40.058149,0,-40.058149,,,
Point,H_R5H0_0,24,Coord. Z,0.404032,0.39,0.014032,0.04,-0.04,PASS
Point,H_R5H0_1,25,Coord. X,56.083588,0,56.083588,,,
Point,H_R5H0_1,25,Coord. Y,-41.308708,0,-41.308708,,,
Point,H_R5H0_1,25,Coord. Z,0.494926,0.39,0.104926,0.04,-0.04,FAIL
Point,H_R5H0_2,26,Coord. X,73.310001,0,73.310001,,,
Point,H_R5H0_2,26,Coord. Y,-42.679875,0,-42.679875,,,
Point,H_R5H0_2,26,Coord. Z,0.402361,0.39,0.012361,0.04,-0.04,PASS
Point,ABC_R5H0_2,27,Coord. X,88.7652,0,88.7652,,,
Point,ABC_R5H0_2,27,Coord. Y,-49.157,0,-49.157,,,
Point,ABC_R5H0_2,27,Coord. Z,0.405104,0.39,0.015104,,,
Point,ABC_R5H0_3,28,Coord. X,78.821834,0,78.821834,,,
Point,ABC_R5H0_3,28,Coord. Y,-48.767913,0,-48.767913,,,
Point,ABC_R5H0_3,28,Coord. Z,0.411027,0.39,0.021027,0.04,-0.04,PASS
Point,ABC_R5H0_4,29,Coord. X,68.721295,0,68.721295,,,
Point,ABC_R5H0_4,29,Coord. Y,-48.482177,0,-48.482177,,,
Point,ABC_R5H0_4,29,Coord. Z,0.42004,0.39,0.03004,0.04,-0.04,PASS
Point,ABC_R5H0_5,30,Coord. X,58.623872,0,58.623872,,,
Point,ABC_R5H0_5,30,Coord. Y,-48.319272,0,-48.319272,,,
Point,ABC_R5H0_5,30,Coord. Z,0.417067,0.39,0.027067,0.04,-0.04,PASS
Point,ABC_R5H0_6,31,Coord. X,49.233264,0,49.233264,,,
Point,ABC_R5H0_6,31,Coord. Y,-48.275573,0,-48.275573,,,
Point,ABC_R5H0_6,31,Coord. Z,0.411302,0.39,0.021302,0.04,-0.04,PASS
Point,ABC_R5H0_7,32,Coord. X,39.157084,0,39.157084,,,
Point,ABC_R5H0_7,32,Coord. Y,-48.312956,0,-48.312956,,,
Point,ABC_R5H0_7,32,Coord. Z,0.418664,0.39,0.028664,0.04,-0.04,PASS
Point,ABC_R5H0_8,33,Coord. X,29.031949,0,29.031949,,,
Point,ABC_R5H0_8,33,Coord. Y,-48.457969,0,-48.457969,,,
Point,ABC_R5H0_8,33,Coord. Z,0.425502,0.39,0.035502,0.04,-0.04,PASS
Point,ABC_R5H0_9,34,Coord. X,18.933538,0,18.933538,,,
Point,ABC_R5H0_9,34,Coord. Y,-48.720844,0,-48.720844,,,
Point,ABC_R5H0_9,34,Coord. Z,0.426293,0.39,0.036293,0.04,-0.04,PASS
Point,ABC_R5H0_10,35,Coord. X,8.448012,0,8.448012,,,
Point,ABC_R5H0_10,35,Coord. Y,-49.012434,0,-49.012434,,,
Point,ABC_R5H0_10,35,Coord. Z,0.427141,0.39,0.037141,0.04,-0.04,PASS
Point,Module_Origin,7,Coord. X,0,,,,,
Point,Module_Origin,7,Coord. Y,0,,,,,
Point,Module_Origin,7,Coord. Z,0.01308,,,,,
Point,Module_Axis,8,Coord. X,96.950563,,,,,
Point,Module_Axis,8,Coord. Y,0,,,,,
Point,Module_Axis,8,Coord. Z,-0.030718,,,,,
Point,Sensor_1,36,Coord. X,1.55794,,,,,
Point,Sensor_1,36,Coord. Y,-1.168778,,,,,
Point,Sensor_1,36,Coord. Z,0.037586,,,,,
Point,Sensor_2,37,Coord. X,3.712848,,,,,
Point,Sensor_2,37,Coord. Y,-36.744696,,,,,
Point,Sensor_2,37,Coord. Z,0.013255,,,,,
Point,Sensor_3,38,Coord. X,5.063921,,,,,
Point,Sensor_3,38,Coord. Y,-58.564667,,,,,
Point,Sensor_3,38,Coord. Z,-0.006309,,,,,
Point,Sensor_4,39,Coord. X,7.974399,,,,,
Point,Sensor_4,39,Coord. Y,-99.578666,,,,,
Point,Sensor_4,39,Coord. Z,-0.005306,,,,,
Point,Sensor_5,40,Coord. X,46.917693,,,,,
Point,Sensor_5,40,Coord. Y,-98.434899,,,,,
Point,Sensor_5,40,Coord. Z,-0.003107,,,,,
Point,Sensor_6,41,Coord. X,92.10125,,,,,
Point,Sensor_6,41,Coord. Y,-99.549361,,,,,
Point,Sensor_6,41,Coord. Z,-0.007588,,,,,
Point,Sensor_7,42,Coord. X,93.799807,,,,,
Point,Sensor_7,42,Coord. Y,-59.485815,,,,,
Point,Sensor_7,42,Coord. Z,-0.000889,,,,,
Point,Sensor_8,43,Coord. X,95.418042,,,,,
Point,Sensor_8,43,Coord. Y,-11.856469,,,,,
Point,Sensor_8,43,Coord. Z,0.013059,,,,,
Point,Sensor_9,44,Coord. X,95.372257,,,,,
Point,Sensor_9,44,Coord. Y,-1.301001,,,,,
Point,Sensor_9,44,Coord. Z,0.028229,,,,,
Point,Sensor_10,45,Coord. X,50.710216,,,,,
Point,Sensor_10,45,Coord. Y,-0.556296,,,,,
Point,Sensor_10,45,Coord. Z,0.030849,,,,,
Point,Sensor_11,46,Coord. X,57.591946,,,,,
Point,Sensor_11,46,Coord. Y,-24.066296,,,,,
Point,Sensor_11,46,Coord. Z,0.011305,,,,,
Point,Sensor_12,47,Coord. X,89.051973,,,,,
Point,Sensor_12,47,Coord. Y,-59.103351,,,,,
Point,Sensor_12,47,Coord. Z,-0.000003,,,,,
Point,Sensor_13,48,Coord. X,78.991813,,,,,
Point,Sensor_13,48,Coord. Y,-58.827692,,,,,
Point,Sensor_13,48,Coord. Z,-0.001744,,,,,
Point,Sensor_14,49,Coord. X,69.115645,,,,,
Point,Sensor_14,49,Coord. Y,-58.640998,,,,,
Point,Sensor_14,49,Coord. Z,0.000331,,,,,
Point,Sensor_15,50,Coord. X,58.921547,,,,,
Point,Sensor_15,50,Coord. Y,-58.33081,,,,,
Point,Sensor_15,50,Coord. Z,0.002593,,,,,
Point,Sensor_16,51,Coord. X,48.959684,,,,,
Point,Sensor_16,51,Coord. Y,-58.42052,,,,,
Point,Sensor_16,51,Coord. Z,0.004058,,,,,
Point,Sensor_17,52,Coord. X,38.972687,,,,,
Point,Sensor_17,52,Coord. Y,-58.392727,,,,,
Point,Sensor_17,52,Coord. Z,0.002179,,,,,
Point,Sensor_18,53,Coord. X,29.167312,,,,,
Point,Sensor_18,53,Coord. Y,-58.792862,,,,,
Point,Sensor_18,53,Coord. Z,0.002983,,,,,
Point,Sensor_19,54,Coord. X,19.010505,,,,,
Point,Sensor_19,54,Coord. Y,-59.029002,,,,,
Point,Sensor_19,54,Coord. Z,0.001528,,,,,
Point,Sensor_20,55,Coord. X,8.879236,,,,,
Point,Sensor_20,55,Coord. Y,-59.430935,,,,,
Point,Sensor_20,55,Coord. Z,0.000114,,,,,
Point,C8,63,Coord. X,75.890205,,,,,
Point,C8,63,Coord. Y,-14.768269,,,,,
Point,C8,63,Coord. Z,3.046333,,,,,
Point,C7,62,Coord. X,75.791294,,,,,
Point,C7,62,Coord. Y,-24.102863,,,,,
Point,C7,62,Coord. Z,2.868456,,,,,
Point,C6,61,Coord. X,75.385636,,,,,
Point,C6,61,Coord. Y,-28.2402,,,,,
Point,C6,61,Coord. Z,2.889937,,,,,
Point,C5,60,Coord. X,75.192837,,,,,
Point,C5,60,Coord. Y,-36.960302,,,,,
Point,C5,60,Coord. Z,2.869329,,,,,
Point,C4,59,Coord. X,89.234555,,,,,
Point,C4,59,Coord. Y,-33.4576,,,,,
Point,C4,59,Coord. Z,2.809407,,,,,
Point,C3,58,Coord. X,87.904624,,,,,
Point,C3,58,Coord. Y,-30.128374,,,,,
Point,C3,58,Coord. Z,2.843304,,,,,
Point,C2,57,Coord. X,92.507582,,,,,
Point,C2,57,Coord. Y,-15.802868,,,,,
Point,C2,57,Coord. Z,2.968844,,,,,
Point,C1,56,Coord. X,88.843063,,,,,
Point,C1,56,Coord. Y,-15.919228,,,,,
Point,C1,56,Coord. Z,3.063833,,,,,
